id,Cluster
0,1
1,1
3,1
4,1
7,1
8,1
10,1
11,1
13,1
16,1
18,1
21,1
31,1
36,1
40,1
41,1
42,1
45,1
48,1
50,1
54,1
57,1
58,1
61,1
65,1
67,1
68,1
69,1
71,1
72,1
75,1
78,1
82,1
86,1
87,1
88,1
91,1
92,1
93,1
94,1
97,1
101,1
105,1
108,1
109,1
111,1
115,1
119,1
124,1
125,1
126,1
128,1
130,1
131,1
133,1
135,1
138,1
139,1
145,1
146,1
149,1
150,1
152,1
154,1
158,1
160,1
161,1
163,1
164,1
167,1
168,1
171,1
174,1
176,1
180,1
182,1
183,1
184,1
188,1
189,1
192,1
194,1
201,1
203,1
208,1
214,1
221,1
222,1
226,1
229,1
242,1
243,1
245,1
247,1
253,1
260,1
272,1
273,1
274,1
278,1
279,1
281,1
282,1
284,1
285,1
287,1
290,1
294,1
296,0
297,0
298,0
303,0
304,0
308,0
314,0
318,0
319,0
321,0
322,0
325,0
326,0
329,0
331,0
340,0
341,0
342,0
346,0
349,0
350,0
353,0
354,0
355,0
356,0
367,0
369,0
372,0
374,0
375,0
376,0
381,0
382,0
388,0
390,0
392,0
403,0
406,0
407,0
408,0
409,0
412,0
423,0
432,0
437,0
440,0
441,0
443,0
445,0
448,0
451,0
453,0
462,0
465,0
470,0
471,0
473,0
475,0
479,0
483,0
485,0
489,0
492,0
493,0
495,0
497,0
498,0
499,0
500,0
503,0
504,0
510,0
513,0
516,0
522,0
525,0
532,0
533,0
534,0
537,0
550,0
551,0
553,0
557,0
561,0
562,0
570,0
571,0
577,0
580,0
583,0
585,0
586,0
595,0
605,2
613,2
614,2
617,2
621,2
631,2
633,2
634,2
636,2
641,2
642,2
644,2
645,2
649,2
657,2
661,2
662,2
667,2
669,2
673,2
674,2
676,2
679,2
682,2
685,2
689,2
701,2
702,2
708,2
714,2
720,2
721,2
722,2
727,2
730,2
732,2
735,2
740,2
743,2
748,2
750,2
753,2
761,2
762,2
766,2
768,2
774,2
775,2
777,2
779,2
783,2
788,2
789,2
795,2
799,2
802,2
810,2
813,2
816,2
818,2
821,2
827,2
831,2
835,2
838,2
840,2
846,2
847,2
851,2
852,2
857,2
862,2
864,2
866,2
869,2
871,2
873,2
879,2
883,2
884,2
889,2
891,2
893,2
896,2
897,2
898,2
901,2
902,2
904,2
906,2
907,2
909,2
910,2
911,2
912,2
916,2
919,2
